bytes_08_0B	be32	byte_0C	byte_0D	byte_0E	byte_0F	file_size	path
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	20392	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x68533cba\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x697f5f05\12\0.uifont
5f 8e 01 44	0x5F8E0144	1	1	1	3	10312	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x6b2e70be\0\1\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	17656	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x6b94dd84\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17008	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x6bdcad84\12\0.uifont
5f 8e 00 db	0x5F8E00DB	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x6e1ddbaa\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17584	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x737b31c2\12\0.uifont
59 87 06 69	0x59870669	1	1	1	1	16768	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x772b4e71\12\0.uifont
53 ef 4d c5	0x53EF4DC5	1	1	1	1	2776	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x772b4e71\14\1\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	15760	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x785a8350\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	26128	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x7a821798\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17920	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x7b9f5149\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x7cb48e12\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x8059b7bf\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	18256	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x807c7a5d\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	15760	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x83b9a844\12\0.uifont
5f 8e 01 45	0x5F8E0145	1	1	1	3	10312	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x871dea9b\0\1\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x888cf25a\12\0.uifont
